Gender_Female,Gender_Male,Gender_Other,Country_Australia,Country_Belgium,Country_Brazil,Country_Canada,Country_China,Country_Finland,Country_France,Country_Germany,Country_India,Country_Italy,Country_Japan,Country_Mexico,Country_Netherlands,Country_Norway,Country_South Korea,Country_Spain,Country_Sweden,Country_Switzerland,Country_UK,Country_USA,Stress_Level_High,Stress_Level_Low,Stress_Level_Medium,Health_Issues_Mild,Health_Issues_Moderate,Health_Issues_Severe,Health_Issues_nan,Occupation_Healthcare,Occupation_Office,Occupation_Other,Occupation_Service,Occupation_Student,Age,Coffee_Intake,Caffeine_mg,Sleep_Hours,BMI,Heart_Rate,Physical_Activity_Hours,Smoking,Alcohol_Consumption,Caffeine_per_SleepHour,Sleep_Quality
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.4525741456397534,0.6832071542217205,0.6511379065796059,0.7068608975887095,0.23376587545083102,0.7515632434628087,1.625264933060782,-0.5006249221286613,-0.6557449427951617,0.22754515641890988,2
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.174644571713248,-1.0407226029916605,-1.0476912377738734,-0.3569738367942607,-1.02064504698064,-0.368319132805905,0.8141342171130599,-0.5006249221286613,-0.6557449427951617,-0.9193625007421523,2
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6317794934548967,1.9244365794153546,1.92598576020555,-0.6024741601134076,-0.3294390284979927,-1.182779042819515,0.8604845437386439,-0.5006249221286613,-0.6557449427951617,1.8986225860991617,1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.6174089064381847,0.06259244162490345,0.07832756688093255,0.5431940153759447,0.18256542963730174,0.038910822200899954,-0.2055729686497906,-0.5006249221286613,-0.6557449427951617,-0.15823385531116976,2
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.26424724562081964,0.40737839306757967,0.43261330296832484,-1.0934748067517022,0.028964092196713954,0.5479482659594062,0.23475513429325853,-0.5006249221286613,1.5249831675977936,0.7285425706985663,1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.26424724562081964,0.6142499639331852,0.6387959854454136,-0.19330695458149588,0.7713705564928905,1.1587931984696136,0.3042806242316349,-0.5006249221286613,-0.6557449427951617,0.5187290104820671,2
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6174089064381847,0.13154963191343874,0.09938143234514236,0.9523612209078565,0.08016453801024322,-1.2845865315712162,-1.5033821141661456,1.9975034318067744,-0.6557449427951617,-0.23115587952433234,2
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.81098484127004,1.372779057107073,1.343737480816024,-0.9298079245389372,-2.095854409064758,-0.8773565765644112,-1.5729076041045218,1.9975034318067744,1.5249831675977936,1.5624946638334596,1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.5330552673435345,-0.5580222709719138,-0.5547403877670305,0.3795271331631799,-0.5854412575656399,-1.0809715540678138,-1.225280154412641,1.9975034318067744,1.5249831675977936,-0.6126767708592846,2
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5421768195473251,1.0279931056643967,1.0511613503995916,-0.19330695458149588,1.6417781353228909,-0.16470415530250254,1.0227106869281886,-0.5006249221286613,-0.6557449427951617,0.8750144017702827,2
